日期,星期,holiday,last Sun,last Mon,last Tue,last Wed,last Thu,last Fri,last Sat
20190402,2,0,24349.0,28535.0,28756.0,29140.0,30093.0,29673.0,25810.0
20190403,3,0,24349.0,28535.0,28756.0,29140.0,30093.0,29673.0,25810.0
20190404,4,1,24349.0,28535.0,28756.0,29140.0,30093.0,29673.0,25810.0
20190405,5,1,24349.0,28535.0,28756.0,29140.0,30093.0,29673.0,25810.0
20190406,6,1,24349.0,28535.0,28756.0,29140.0,30093.0,29673.0,25810.0
20190407,7,1,24349.0,28535.0,28756.0,29140.0,30093.0,29673.0,25810.0
20190408,1,0,24349.0,28535.0,28756.0,29140.0,30093.0,29673.0,25810.0
